2,Computer programming,100
5,Data structures,150
6,Software engineering,250
8,Computer architecture,150
9,Operating systems,100
11,Artificial Intelligence,200
13,Computer security,100
14,Relational databases,150
15,Structured Storage,100
17,Programming language pragmatics,200
18,Algorithm design,150
19,Web designing,300
20,Machine learning,100
23,Computer graphics,200
26,Parallel computing,300
27,Distributed computing,150
28,Data mining,250
30,Compiler theory,150
32,Numerical analysis,300
34,Human Computer interaction,150
36,Web programming,250
39,Automata theory,100
42,Computational complexity theory,200
45,Coding theory,300
46,Game theory,250
47,Graph theory,200
48,Mathematical logic,250
49,Number theory,250
52,Algorithms,200
54,Automated reasoning,100
55,Computer vision,150
56,Soft computing,250
59,Evolutionary computing,100
62,Natural language processing,100
63,Robotics,100
64,Networking,150
67,Cryptography,300
68,Image processing,200
69,Concurrency,200
72,Programming language theory,200
73,Formal semantics,200
75,Type theory,200
78,Computational science,200
80,Symbolic computation,300
81,Computational physics,200
83,Computational chemistry,150
86,Bioinformatics,100
89,Computational neuroscience,300
91,Formal methods,200
92,Reverse engineering,200
95,Computability theory,250
97,Grand Challenges,100
98,Quantum computing theory,150
